ID;Strain;RT_s;Compound;Clasificacion;BioTr_label;BioTr_count;MW;LogP;Silicos_class;GI_abs;BBB;Fold_change;p_value;Significance;Mutagenicity;pNOEC;NOEC;NOEC_num;cat;fqs_sol;fqs_gi;fqs_bbb;fqs_pers;fqs_noec;fqs_cin;FQS
787;StrainC;473.7;Dopamine 3-O-glucuronide;Otro;Estabilidad Máxima;0;329.3;0.34;Soluble;Low;No;1.30819309667117;0.0399876009075831;Significant Increase;NON-Mutagenic;-2167.0;146923.0;146923.0;OTHER;10;3;10;10;10;10;53
788;StrainD;265.3;(2E,4Z,6E)-5-Formyl-2-Hydroxy-8-Oxoocta-2,4,6-Trienoate;Otro;Estabilidad Máxima;0;195.15;-0.94;Soluble;High;No;1.232080723729993;0.046072035613986;Significant Increase;NON-Mutagenic;-0.333;2151.0;2151.0;OTHER;10;10;10;10;10;10;60
789;StrainC;265.3;(2E,4Z,6E)-5-Formyl-2-Hydroxy-8-Oxoocta-2,4,6-Trienoate;Otro;Estabilidad Máxima;0;195.15;-0.94;Soluble;High;No;1.769311064718163;0.0217484751815837;Significant Increase;NON-Mutagenic;-0.333;2151.0;2151.0;OTHER;10;10;10;10;10;10;60
790;StrainD;233.98;(-)-Epicatechin sulfate;Metabolitos de defensa y fitoprotección;Estabilidad Máxima;0;369.32;-2.94;Soluble;Low;No;1.836965294592413;0.0171950788996871;Significant Increase;NON-Mutagenic;-0.893;7.81;7.81;DEF;10;3;10;10;5;10;48
791;StrainB;371.041;Lysyl-gamma-Glutamic acid;Otro;Estabilidad Máxima;0;274.32;3.04;Soluble;Low;No;1.978047956771361;0.0342358649027917;Significant Increase;NON-Mutagenic;-2733.0;540505.0;540505.0;OTHER;10;3;10;10;10;10;53
792;StrainC;170.008;Prolyl-Gamma-glutamic acid;Otro;Estabilidad Máxima;0;243.26;2.04;Soluble;Low;No;3.590643274853801;0.014240333173497;Significant Increase;NON-Mutagenic;-2637.0;433044.0;433044.0;OTHER;10;3;10;10;10;10;53
793;StrainD;143.531;Threoninyl-gamma-Glutamic acid;Otro;Estabilidad Máxima;0;247.25;2.37;Soluble;Low;No;2.707518796992481;0.0115285204343108;Significant Increase;NON-Mutagenic;-2822.0;663445.0;663445.0;OTHER;10;3;10;10;10;10;53
794;StrainC;143.531;Threoninyl-gamma-Glutamic acid;Otro;Estabilidad Máxima;0;247.25;2.37;Soluble;Low;No;4.230576441102756;0.0022579312580746;Significant Increase;NON-Mutagenic;-2822.0;663445.0;663445.0;OTHER;10;3;10;10;10;10;53
795;StrainC;349.1;Adrenochrome o-semiquinone;Otro;Estabilidad Máxima;0;180.18;-1.46;Soluble;High;No;1.434332619557459;0.0152502886924978;Significant Increase;NON-Mutagenic;-0.771;5904.0;5904.0;OTHER;10;10;10;10;10;10;60
796;StrainC;213.578;L-alpha-Aspartyl-L-hydroxyproline;Osmoprotectores y tolerancia a estrés abiotico;Estabilidad Máxima;0;246.22;1.98;Soluble;Low;No;12.63344051446945;0.002337407316827;Significant Increase;Mutagenic;-2385.0;242797.0;242797.0;OSM;10;3;10;10;10;10;53
797;StrainC;326.7;2-[(L-Alanin-3-ylcarbamoyl)methyl]-2-hydroxybutanedioic acid;Otro;Estabilidad Máxima;0;278.22;2.71;Soluble;Low;No;12.37956204379562;0.0227723362518777;Significant Increase;NON-Mutagenic;-2651.0;447916.0;447916.0;OTHER;10;3;10;10;10;10;53
798;StrainC;142.011;2-[(L-Alanin-3-ylcarbamoyl)methyl]-3-(2-aminoethylcarbamoyl)-2-hydroxypropanoic acid;Otro;Estabilidad Máxima;0;320.3;4.84;Soluble;Low;No;2.021487603305784;0.00153974647114;Significant Increase;NON-Mutagenic;-2698.0;498534.0;498534.0;OTHER;10;3;10;10;10;10;53
799;StrainC;221.3;Folic acid;Cofactores y vitaminas;Estabilidad Moderada;11;441.4;-2.58;Moderately soluble;Low;No;2.127208480565371;0.0147649375297017;Significant Increase;NON-Mutagenic;-2195.0;156774.0;156774.0;COF;5;3;10;7;10;5;40
800;StrainC;332.8;Dopaxanthin;Otro;Estabilidad Máxima;0;390.34;-2.49;Soluble;Low;No;11.27472527472528;0.0082490905588989;Significant Increase;NON-Mutagenic;-2002.0;100483.0;100483.0;OTHER;10;3;10;10;10;10;53
801;StrainB;332.8;Dopaxanthin;Otro;Estabilidad Máxima;0;390.34;-2.49;Soluble;Low;No;2.134615384615384;0.0428945124168255;Significant Increase;NON-Mutagenic;-2002.0;100483.0;100483.0;OTHER;10;3;10;10;10;10;53
802;StrainC;495.7;Miraxanthin-V;Otro;Estabilidad Máxima;0;346.33;-2.43;Soluble;High;No;8.478873239436618;0.0083110929257629;Significant Increase;NON-Mutagenic;-2171.0;148234.0;148234.0;OTHER;10;10;10;10;10;10;60
